policy,family,success_seen_episodes,success_ood_episodes,failure_ood_episodes,success_seen_fa,success_ood_fa,failure_detection,failure_det_at_10,failure_det_at_25,failure_det_at_50,failure_mean_time,failure_never,objective
q99_maxrun_conformal_alpha0p15,split_conformal_maxrun,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_maxrun_conformal_alpha0p2,split_conformal_maxrun,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_maxrun_epq90,episode_calibrated_maxrun,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_maxrun_epq95,episode_calibrated_maxrun,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q95_count_5_reset_q90_R3,recovery_reset_count,136,211,42,0.1323529411764706,0.23222748815165878,0.9285714285714286,0.0,0.16666666666666666,0.8333333333333334,0.35854700854700844,0.0714285714285714,2.761384462036121
q95_count_10_reset_q90_R3,recovery_reset_count,136,211,42,0.11764705882352941,0.21800947867298578,0.8809523809523809,0.0,0.11904761904761904,0.6904761904761905,0.39549549549549545,0.11904761904761907,2.4115357402087256
q95_count_15_reset_q90_R3,recovery_reset_count,136,211,42,0.11029411764705882,0.1943127962085308,0.8809523809523809,0.0,0.11904761904761904,0.6428571428571429,0.4181981981981982,0.11904761904761907,2.381824858033389
q95_count_20_reset_q90_R3,recovery_reset_count,136,211,42,0.09558823529411764,0.14691943127962084,0.8809523809523809,0.0,0.047619047619047616,0.5952380952380952,0.4392792792792792,0.11904761904761907,2.310627031906652
q95_count_30_reset_q90_R3,recovery_reset_count,136,211,42,0.08088235294117647,0.061611374407582936,0.8095238095238095,0.0,0.0,0.5,0.5251960784313724,0.19047619047619047,2.11452585062461
q95_mass_1_reset_q90_R3,recovery_reset_mass,136,211,42,0.1323529411764706,0.21800947867298578,0.9047619047619048,0.0,0.14285714285714285,0.7380952380952381,0.39280701754385966,0.09523809523809523,2.561017383506159
