Using device: cuda
Loading dataset from intern_ship_ws/runs/tdqc_dataset/final_calibrated_3751rollouts.pt...
Processing 3751 episodes...
Loading Episodes:   0%|          | 0/3751 [00:00<?, ?it/s]Loading Episodes:  59%|█████▉    | 2208/3751 [00:00<00:00, 22069.44it/s]Loading Episodes: 100%|██████████| 3751/3751 [00:00<00:00, 17760.08it/s]
/home/redafrix/tests/intern_ship_research/intern_ship_ws/envs/simvla/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Loaded 3751 episodes.
Split sizes: 2625 train, 562 val, 564 test.
DEBUG: Splitting dataset...
DEBUG: Creating DataLoaders...
DEBUG: Computing class weights...
DEBUG: total successes=2651, failures=1100
DEBUG: Initializing model...
Resuming from intern_ship_ws/runs/tdqc_calibrator/lstm_td0_fine_tuned/last.pt...
Resuming at epoch 700 with best_val=0.106463
DEBUG: Starting training loop...
epoch=0951 train_loss=0.000613 val_seq_brier=0.095143 best=0.094214
epoch=0952 train_loss=0.000594 val_seq_brier=0.095146 best=0.094214
epoch=0953 train_loss=0.000602 val_seq_brier=0.095292 best=0.094214
epoch=0954 train_loss=0.000619 val_seq_brier=0.095249 best=0.094214
epoch=0955 train_loss=0.000597 val_seq_brier=0.095287 best=0.094214
epoch=0956 train_loss=0.000591 val_seq_brier=0.095208 best=0.094214
epoch=0957 train_loss=0.000593 val_seq_brier=0.095073 best=0.094214
epoch=0958 train_loss=0.000605 val_seq_brier=0.095140 best=0.094214
epoch=0959 train_loss=0.000627 val_seq_brier=0.094978 best=0.094214
epoch=0960 train_loss=0.000604 val_seq_brier=0.094977 best=0.094214
epoch=0961 train_loss=0.000606 val_seq_brier=0.094894 best=0.094214
epoch=0962 train_loss=0.000591 val_seq_brier=0.094874 best=0.094214
epoch=0963 train_loss=0.000739 val_seq_brier=0.094953 best=0.094214
epoch=0964 train_loss=0.000594 val_seq_brier=0.094856 best=0.094214
epoch=0965 train_loss=0.000619 val_seq_brier=0.094686 best=0.094214
epoch=0966 train_loss=0.000684 val_seq_brier=0.093977 best=0.094214
epoch=0967 train_loss=0.000608 val_seq_brier=0.093956 best=0.093977
epoch=0968 train_loss=0.000606 val_seq_brier=0.093966 best=0.093956
epoch=0969 train_loss=0.000599 val_seq_brier=0.093909 best=0.093956
epoch=0970 train_loss=0.000594 val_seq_brier=0.093920 best=0.093909
epoch=0971 train_loss=0.000591 val_seq_brier=0.093863 best=0.093909
epoch=0972 train_loss=0.000599 val_seq_brier=0.093771 best=0.093863
epoch=0973 train_loss=0.000626 val_seq_brier=0.093792 best=0.093771
epoch=0974 train_loss=0.000619 val_seq_brier=0.093790 best=0.093771
epoch=0975 train_loss=0.000622 val_seq_brier=0.093816 best=0.093771
epoch=0976 train_loss=0.000615 val_seq_brier=0.093507 best=0.093771
epoch=0977 train_loss=0.000612 val_seq_brier=0.093578 best=0.093507
epoch=0978 train_loss=0.000602 val_seq_brier=0.093329 best=0.093507
epoch=0979 train_loss=0.000597 val_seq_brier=0.093314 best=0.093329
epoch=0980 train_loss=0.000602 val_seq_brier=0.093445 best=0.093314
epoch=0981 train_loss=0.000592 val_seq_brier=0.093270 best=0.093314
epoch=0982 train_loss=0.000616 val_seq_brier=0.093472 best=0.093270
epoch=0983 train_loss=0.000591 val_seq_brier=0.093224 best=0.093270
epoch=0984 train_loss=0.000591 val_seq_brier=0.093199 best=0.093224
epoch=0985 train_loss=0.000583 val_seq_brier=0.093054 best=0.093199
epoch=0986 train_loss=0.000613 val_seq_brier=0.092796 best=0.093054
epoch=0987 train_loss=0.000648 val_seq_brier=0.093700 best=0.092796
epoch=0988 train_loss=0.000590 val_seq_brier=0.092990 best=0.092796
epoch=0989 train_loss=0.000588 val_seq_brier=0.093036 best=0.092796
epoch=0990 train_loss=0.000588 val_seq_brier=0.093034 best=0.092796
epoch=0991 train_loss=0.000585 val_seq_brier=0.093017 best=0.092796
epoch=0992 train_loss=0.000587 val_seq_brier=0.093138 best=0.092796
epoch=0993 train_loss=0.000609 val_seq_brier=0.092841 best=0.092796
epoch=0994 train_loss=0.000656 val_seq_brier=0.093189 best=0.092796
epoch=0995 train_loss=0.000596 val_seq_brier=0.092460 best=0.092796
epoch=0996 train_loss=0.000607 val_seq_brier=0.092505 best=0.092460
epoch=0997 train_loss=0.000591 val_seq_brier=0.092382 best=0.092460
epoch=0998 train_loss=0.000584 val_seq_brier=0.092488 best=0.092382
epoch=0999 train_loss=0.000581 val_seq_brier=0.092305 best=0.092382
Training Done. Best val sequential Brier: 0.092305

--- Final Test Evaluation ---
Final Test Sequential Brier: 0.088106
