Using device: cuda
Loading dataset from intern_ship_ws/runs/tdqc_dataset/final_calibrated_3751rollouts.pt...
Processing 3751 episodes...
Loading Episodes:   0%|          | 0/3751 [00:00<?, ?it/s]Loading Episodes:  59%|█████▉    | 2221/3751 [00:00<00:00, 22195.63it/s]Loading Episodes: 100%|██████████| 3751/3751 [00:00<00:00, 18103.94it/s]
/home/redafrix/tests/intern_ship_research/intern_ship_ws/envs/simvla/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Loaded 3751 episodes.
Split sizes: 2625 train, 562 val, 564 test.
DEBUG: Splitting dataset...
DEBUG: Creating DataLoaders...
DEBUG: Computing class weights...
DEBUG: total successes=2651, failures=1100
DEBUG: Initializing model...
Resuming from intern_ship_ws/runs/tdqc_calibrator/lstm_td0/last.pt...
Resuming at epoch 200 with best_val=0.174967
DEBUG: Starting training loop...
epoch=0429 train_loss=0.000592 val_seq_brier=0.131315 best=0.131408
epoch=0430 train_loss=0.000603 val_seq_brier=0.131496 best=0.131315
epoch=0431 train_loss=0.000591 val_seq_brier=0.130922 best=0.131315
epoch=0432 train_loss=0.000673 val_seq_brier=0.131892 best=0.130922
epoch=0433 train_loss=0.000825 val_seq_brier=0.130368 best=0.130922
epoch=0434 train_loss=0.000653 val_seq_brier=0.130396 best=0.130368
epoch=0435 train_loss=0.000607 val_seq_brier=0.129866 best=0.130368
epoch=0436 train_loss=0.000616 val_seq_brier=0.130337 best=0.129866
epoch=0437 train_loss=0.000634 val_seq_brier=0.130220 best=0.129866
epoch=0438 train_loss=0.000605 val_seq_brier=0.129863 best=0.129866
epoch=0439 train_loss=0.000634 val_seq_brier=0.130279 best=0.129863
epoch=0440 train_loss=0.000588 val_seq_brier=0.129461 best=0.129863
epoch=0441 train_loss=0.000610 val_seq_brier=0.129511 best=0.129461
epoch=0442 train_loss=0.000598 val_seq_brier=0.128740 best=0.129461
epoch=0443 train_loss=0.000600 val_seq_brier=0.128904 best=0.128740
epoch=0444 train_loss=0.000594 val_seq_brier=0.128987 best=0.128740
epoch=0445 train_loss=0.000608 val_seq_brier=0.128387 best=0.128740
epoch=0446 train_loss=0.000593 val_seq_brier=0.128327 best=0.128387
epoch=0447 train_loss=0.000596 val_seq_brier=0.127520 best=0.128327
epoch=0448 train_loss=0.000599 val_seq_brier=0.127395 best=0.127520
epoch=0449 train_loss=0.000627 val_seq_brier=0.127216 best=0.127395
epoch=0450 train_loss=0.000610 val_seq_brier=0.127039 best=0.127216
epoch=0451 train_loss=0.000595 val_seq_brier=0.126949 best=0.127039
epoch=0452 train_loss=0.000804 val_seq_brier=0.127833 best=0.126949
epoch=0453 train_loss=0.000655 val_seq_brier=0.127516 best=0.126949
epoch=0454 train_loss=0.000620 val_seq_brier=0.127326 best=0.126949
epoch=0455 train_loss=0.000598 val_seq_brier=0.127261 best=0.126949
epoch=0456 train_loss=0.000578 val_seq_brier=0.127490 best=0.126949
epoch=0457 train_loss=0.000571 val_seq_brier=0.127546 best=0.126949
epoch=0458 train_loss=0.000584 val_seq_brier=0.127537 best=0.126949
epoch=0459 train_loss=0.000608 val_seq_brier=0.127607 best=0.126949
epoch=0460 train_loss=0.000588 val_seq_brier=0.127566 best=0.126949
epoch=0461 train_loss=0.000600 val_seq_brier=0.127366 best=0.126949
epoch=0462 train_loss=0.000581 val_seq_brier=0.127211 best=0.126949
epoch=0463 train_loss=0.000676 val_seq_brier=0.127407 best=0.126949
epoch=0464 train_loss=0.000591 val_seq_brier=0.126922 best=0.126949
epoch=0465 train_loss=0.000612 val_seq_brier=0.127195 best=0.126922
epoch=0466 train_loss=0.000577 val_seq_brier=0.126580 best=0.126922
epoch=0467 train_loss=0.000591 val_seq_brier=0.126485 best=0.126580
epoch=0468 train_loss=0.000593 val_seq_brier=0.126761 best=0.126485
epoch=0469 train_loss=0.000584 val_seq_brier=0.126297 best=0.126485
epoch=0470 train_loss=0.000620 val_seq_brier=0.126200 best=0.126297
epoch=0471 train_loss=0.000584 val_seq_brier=0.125983 best=0.126200
epoch=0472 train_loss=0.000652 val_seq_brier=0.126268 best=0.125983
epoch=0473 train_loss=0.000631 val_seq_brier=0.125377 best=0.125983
epoch=0474 train_loss=0.001205 val_seq_brier=0.125279 best=0.125377
epoch=0475 train_loss=0.000759 val_seq_brier=0.125892 best=0.125279
epoch=0476 train_loss=0.000593 val_seq_brier=0.125078 best=0.125279
epoch=0477 train_loss=0.000592 val_seq_brier=0.125280 best=0.125078
epoch=0478 train_loss=0.000566 val_seq_brier=0.124922 best=0.125078
epoch=0479 train_loss=0.000569 val_seq_brier=0.124480 best=0.124922
epoch=0480 train_loss=0.000586 val_seq_brier=0.124480 best=0.124480
epoch=0481 train_loss=0.000584 val_seq_brier=0.124833 best=0.124480
epoch=0482 train_loss=0.000592 val_seq_brier=0.124729 best=0.124480
epoch=0483 train_loss=0.000573 val_seq_brier=0.124069 best=0.124480
epoch=0484 train_loss=0.000579 val_seq_brier=0.124293 best=0.124069
epoch=0485 train_loss=0.000583 val_seq_brier=0.124530 best=0.124069
epoch=0486 train_loss=0.000786 val_seq_brier=0.123949 best=0.124069
epoch=0487 train_loss=0.000651 val_seq_brier=0.124143 best=0.123949
epoch=0488 train_loss=0.000572 val_seq_brier=0.123529 best=0.123949
epoch=0489 train_loss=0.000562 val_seq_brier=0.123800 best=0.123529
epoch=0490 train_loss=0.000569 val_seq_brier=0.123462 best=0.123529
epoch=0491 train_loss=0.000570 val_seq_brier=0.123476 best=0.123462
epoch=0492 train_loss=0.000570 val_seq_brier=0.123216 best=0.123462
epoch=0493 train_loss=0.000581 val_seq_brier=0.123517 best=0.123216
epoch=0494 train_loss=0.000627 val_seq_brier=0.123334 best=0.123216
epoch=0495 train_loss=0.000584 val_seq_brier=0.122555 best=0.123216
epoch=0496 train_loss=0.000602 val_seq_brier=0.122830 best=0.122555
epoch=0497 train_loss=0.000583 val_seq_brier=0.122514 best=0.122555
epoch=0498 train_loss=0.000580 val_seq_brier=0.122076 best=0.122514
epoch=0499 train_loss=0.000598 val_seq_brier=0.123572 best=0.122076
epoch=0500 train_loss=0.000586 val_seq_brier=0.123302 best=0.122076
epoch=0501 train_loss=0.000602 val_seq_brier=0.123333 best=0.122076
epoch=0502 train_loss=0.000574 val_seq_brier=0.123082 best=0.122076
epoch=0503 train_loss=0.000573 val_seq_brier=0.123224 best=0.122076
epoch=0504 train_loss=0.000579 val_seq_brier=0.122793 best=0.122076
epoch=0505 train_loss=0.000605 val_seq_brier=0.122952 best=0.122076
epoch=0506 train_loss=0.000592 val_seq_brier=0.122309 best=0.122076
epoch=0507 train_loss=0.000573 val_seq_brier=0.122615 best=0.122076
